amplicon,converged,amplicon_factor,alpha,beta_zero,beta_one,method,mean,variance,gene
AMPL244828,True,0.00020577009092551232,1.0271381325675215,-7.795603895345744,1.0,pearson,160.635125173846,7502.288013287394,BMPR2
AMPL244829,True,3.6634687563224646e-05,1.0976540620971877,-9.521367838197142,1.0,pearson,197.6920992668373,7591.183520871698,BMPR2
AMPL244830,True,0.0002861475389148184,0.6120156253062101,-7.465855829268299,1.0,pearson,159.4663025038223,5200.127203018205,BMPR2
AMPL244843,True,0.0009162423831790024,0.36536392949162644,-6.302082437275945,1.0,pearson,157.5725061795448,3492.915840856766,ACVR2B
AMPL244847,True,0.0004963039339315603,0.6641103447337828,-6.915174868322985,1.0,pearson,157.76730394791147,4988.144869269734,BMPR1B
AMPL244850,True,1.2621709354927651e-05,0.7128225313306267,-10.586945081371002,1.0,pearson,252.23468930990632,5613.963610085069,BMPR1B
AMPL244851,True,0.00010150986149750987,0.7358714991029897,-8.502207426031047,1.0,pearson,167.2567166876501,6197.2843189619925,BMPR1B
AMPL244853,True,0.0008471569941137469,0.46632995736199817,-6.380477346783127,1.0,pearson,155.84386856730998,3603.6690407072133,BMPR1B
AMPL244854,True,0.0005024128089025422,0.6620226075194815,-6.902941267148308,1.0,pearson,156.28894994686982,4620.422131431654,BMPR1B
AMPL244856,True,0.0008286391285538176,0.47674193435513534,-6.402578626387659,1.0,pearson,155.8581028258134,3592.061301080752,BMPR1B
AMPL244857,True,0.0002384564588243626,0.6967675755441592,-7.648176646323798,1.0,pearson,160.25704846268658,5668.080469382234,BMPR1B
AMPL244869,True,0.001152364537327578,0.33254974570316825,-6.0727921475522315,1.0,pearson,156.77250249014585,3065.108880433955,ACVR1B
AMPL244872,True,0.0009924104382494376,0.4803492744909445,-6.222226607454335,1.0,pearson,153.51745532013464,3461.801343857372,ACVR1B
AMPL244873,True,0.00029935547189661386,0.6792543243704231,-7.420731640939588,1.0,pearson,157.51909976674042,5972.615394026281,ACVR1B
AMPL244874,True,0.00012983442535341487,0.8643727928996738,-8.25610338985928,1.0,pearson,166.49108730273963,6906.981314267352,ACVR1B
