amplicon,converged,amplicon_factor,alpha,beta_zero,beta_one,method,mean,variance
AMPL257631,True,0.0004671769245288,0.8303277281563795,-6.975655338101437,1.0,pearson,208.74537844374333,16335.162055930125
AMPL126740,True,0.0005804618065601,0.5934126810682862,-6.758539372470211,1.0,pearson,207.89011043745765,13054.567011523122
AMPL143573,True,0.0012989503396806,0.6225260896610769,-5.953051591117573,1.0,pearson,181.4363914496188,5388.928690443639
AMPL257985,True,0.0007842176345495,0.8507291076172264,-6.457676800487628,1.0,pearson,187.65842232245691,8857.743231024006
AMPL257986,True,0.000501706839169,0.9689788645982684,-6.904347414017606,1.0,pearson,196.01784132184807,14088.53726583084
AMPL257987,True,0.000536945340143,0.7319645425813192,-6.836467075519194,1.0,pearson,193.17875398502017,9090.032717189062
AMPL257988,True,0.0020604633344755,0.2731046204363708,-5.491677221263017,1.0,pearson,188.815785670638,4717.737553509091
AMPL250307,True,0.0024686439127053,0.4183379468032645,-5.31093912174693,1.0,pearson,163.8280955270556,2537.319987376386
AMPL120016,True,0.001528484218652,0.3887420856937801,-5.790331560855544,1.0,pearson,190.98161974660997,5895.897051841941
AMPL250309,True,0.0011043968488733,0.4090470245117325,-6.115308750600022,1.0,pearson,198.63739248825965,6995.357398299374
AMPL115655,True,0.0012483664434779,0.2565863058378739,-5.992772246992543,1.0,pearson,207.35111343464183,8206.179838605382
AMPL115656,True,0.001031508225613,0.4701783639034321,-6.183586070505921,1.0,pearson,198.2927325532497,8632.535286621043
AMPL115657,True,0.0001069536450584,1.2345396760926994,-8.449967860563644,1.0,pearson,224.95239909831804,20177.845990113587
AMPL113204,True,0.0001390482857648,1.0790205713348011,-8.187542124993023,1.0,pearson,218.9395474249544,22143.505642905267
AMPL4077,True,0.0002340294152784,1.0439145913673655,-7.666916563628642,1.0,pearson,217.41107123700397,21007.20396132496
AMPL115660,True,0.0017651634632945,0.5341000009724152,-5.646364798560724,1.0,pearson,173.3796727087865,4416.171275993588
AMPL253455,True,0.0013098212702028,0.3114807001194399,-5.944717405476854,1.0,pearson,200.95942389062571,6867.605157380469
AMPL253456,True,0.0004866366415084,0.3374144893335445,-6.93484564880397,1.0,pearson,216.20005115764585,12154.50480681113
AMPL165898,True,0.0005965439644248,0.9008460317560856,-6.73121043460106,1.0,pearson,198.709532234304,12976.685272047878
AMPL165899,True,0.000747267597341,0.3493272940980395,-6.505940027048085,1.0,pearson,209.4666439673423,9311.872059367706
AMPL165900,True,0.0020391822375339,0.3188848352683988,-5.5020592348874295,1.0,pearson,182.9539990364986,3659.165163508015
AMPL165901,True,0.0008205791960886,0.423556235997536,-6.412352949790878,1.0,pearson,204.8594210821784,9342.253567111407
AMPL165902,True,0.0008944447600638,0.451477012269501,-6.326160231461629,1.0,pearson,203.3078100413048,9655.86862654036
AMPL165903,True,0.0002692717341049,0.5913170640777868,-7.526642343715822,1.0,pearson,214.76505311001827,16020.32831465535
AMPL257633,True,0.0015072226979203,0.7623163004030077,-5.804339414035102,1.0,pearson,167.3779852729914,4713.794506931647
AMPL250312,True,1.7707309723008632e-05,3.5896071871697965,-10.248385844375726,1.0,pearson,344.97144020381575,46281.84466536702
AMPL128656,True,2.288579645617832e-05,5.722837576278926,-9.991846901362116,1.0,pearson,370.86486588943774,59717.25991779499
AMPL251220,True,0.0070379759203907,0.3298822600579181,-4.263287480899669,1.0,pearson,100.4938694390018,162.1108904387886
AMPL248894,True,0.0003103881961519,1.270563253697422,-7.384539617679392,1.0,pearson,202.14966742365272,18612.400929481635
AMPL242360,True,0.0001792797592109,2.087084388145706,-7.933415891001993,1.0,pearson,213.680593887622,26218.458367499577
AMPL253469,True,0.0019731303584849,0.732444614915607,-5.534986802360588,1.0,pearson,153.22570947010362,2939.4194444695127
AMPL253470,True,0.0023273552897626,0.2954982581918768,-5.36987554429441,1.0,pearson,179.864940994438,3531.501366381987
AMPL253471,True,0.0004223382524951,0.3272039900394197,-7.076556838237845,1.0,pearson,214.6743802869848,10702.800707214052
AMPL242364,True,4.496762584168913e-05,1.845525173599956,-9.316420572285134,1.0,pearson,269.2575037110559,26753.92110455005
AMPL253472,True,0.0007894564033688,0.5251254223146944,-6.451018765792141,1.0,pearson,202.20604197325127,10335.141877087366
AMPL242366,True,0.0005026851923705,0.6276157457927473,-6.902399263335001,1.0,pearson,206.79717558125253,12923.521433587652
AMPL242367,True,0.0006802098528416,0.4285404683669802,-6.599962019723454,1.0,pearson,203.9578129453857,8245.73935176138
AMPL242368,True,0.0006942570770616,0.4665569486114246,-6.579521057446381,1.0,pearson,205.5796317168084,10508.24613488303
AMPL59786,True,0.0032228345844392,0.2456783959572418,-5.044346820381231,1.0,pearson,167.76155664191515,2135.9004120250047
